dataset,sampled_files,value_count,quantile_25,quantile_50,quantile_75,mean,variance
C3VD,2000,398410836,0.014585,0.024304,0.041156,0.029899,0.000387
C3VDv2,2000,393119052,0.015714,0.024578,0.040199,0.031038,0.000444
EndoMapper,1919,385688296,0.026699,0.034861,0.048533,0.041004,0.000470
EndoNeRF,156,24124322,0.059905,0.069225,0.084545,0.069935,0.000300
EndoSynth,2000,293657729,0.059423,0.087855,0.108250,0.085069,0.001354
EndoVis2017,2000,427703194,0.038960,0.072531,0.105441,0.075997,0.001604
EndoVis2017_eval,600,128188857,0.075345,0.094981,0.114029,0.093938,0.000625
EndoVis2017_train,1800,385055485,0.032867,0.059321,0.094590,0.070049,0.001781
EndoVis2018,587,125082502,0.029807,0.037096,0.047765,0.041761,0.000343
Kidney3D,2000,295843096,0.001882,0.003764,0.006540,0.004352,0.000008
SCARED,2000,83293644,0.010696,0.022042,0.032194,0.022420,0.000201
SimCol,2000,451228678,0.023930,0.035961,0.053783,0.042152,0.000639
StereoMIS,2000,426168117,0.073917,0.099148,0.119701,0.098840,0.001268
dVPN,2000,146997244,0.050440,0.062763,0.080224,0.066572,0.000587
hamlyn,2000,102884795,0.047832,0.059129,0.079385,0.066503,0.000758
