file_name,quantile_5,quantile_95
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000001.pt,0.064000,0.126638
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000002.pt,0.063423,0.125595
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000003.pt,0.063463,0.123242
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000004.pt,0.063297,0.125886
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000005.pt,0.063371,0.126604
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000006.pt,0.063352,0.125321
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000007.pt,0.063631,0.126737
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000008.pt,0.063638,0.125843
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000009.pt,0.063619,0.119408
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000010.pt,0.063449,0.122145
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000011.pt,0.063325,0.112454
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000012.pt,0.063389,0.125296
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000013.pt,0.063400,0.126077
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000014.pt,0.063347,0.096491
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000015.pt,0.063163,0.093911
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000016.pt,0.062970,0.096059
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000017.pt,0.062930,0.106896
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000018.pt,0.063082,0.108634
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000019.pt,0.062945,0.104637
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000020.pt,0.062299,0.096437
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000021.pt,0.058775,0.095297
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000022.pt,0.055760,0.092854
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000023.pt,0.054416,0.099493
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000024.pt,0.054000,0.102182
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000025.pt,0.050091,0.077991
/home/ziyi/ssde/data/dVPN/cache/train/train/image_0/000026.pt,0.053290,0.099212
