file_name,quantile_5,quantile_95
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0001.pt,0.002908,0.011205
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0002.pt,0.002909,0.011203
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0003.pt,0.002910,0.011201
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0004.pt,0.002913,0.011197
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0005.pt,0.002915,0.011192
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0006.pt,0.002919,0.011187
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0007.pt,0.002923,0.011179
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0008.pt,0.002927,0.011171
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0009.pt,0.002932,0.011162
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0010.pt,0.002938,0.011152
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0011.pt,0.002944,0.011141
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0012.pt,0.002951,0.011129
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0013.pt,0.002958,0.011117
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0014.pt,0.002966,0.011102
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0015.pt,0.002974,0.011088
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0016.pt,0.002983,0.011071
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0017.pt,0.002992,0.011056
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0018.pt,0.003001,0.011039
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0019.pt,0.003011,0.011021
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0020.pt,0.003022,0.011001
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0021.pt,0.003032,0.010981
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0022.pt,0.003043,0.010960
/data/ziyi/multitask/data/NO/Kidney3D-CT-depth-seg/cache_pt/train/01/noLaser/image/Image0023.pt,0.003054,0.010941
